No	Strain	Sample	Exp_Date	Time_Point	Time_hr	Treatment	Rep	OD600	OD480	OD600_corr	Dox_conc	OD600_corr_avg	OD600_corr_sd	OD600_corr_se	Dox_conc_avg_orig	Dox_conc_sd	Dox_conc_se	Dox_conc_avg_orig_paste	Dox_conc_avg
20	E. coli	DM-R2	1/25/19	3	3	Dox_100µM	2	322	341	264	114.17								
21	E. coli	DM-R3	1/25/19	3	3	Dox_100µM	3	327	354	269	120.17								
22	E. coli	DH-R1	1/25/19	3	3	Dox_250µM	1	319	501	253	188.08	241.33	10.21	5.90	226.88	38.13	22.01	226.88	228.49
23	E. coli	DH-R2	1/25/19	3	3	Dox_250µM	2	303	588	237	228.26								
24	E. coli	DH-R3	1/25/19	3	3	Dox_250µM	3	300	666	234	264.29								
25	E. coli	Ct-R1	1/25/19	6	6	Ctrl	1	414	93	361	-0.39	370.33	11.37	6.57	-0.85	0.46	0.27	-0.85	0.00
26	E. coli	Ct-R2	1/25/19	6	6	Ctrl	2	436	92	383	-0.85								
27	E. coli	Ct-R3	1/25/19	6	6	Ctrl	3	420	91	367	-1.31								
28	E. coli	DL-R1	1/25/19	6	6	Dox_10µM	1	453	105	399	5.16	377.33	23.71	13.69	8.85	4.23	2.44	8.85	9.70
29	E. coli	DL-R2	1/25/19	6	6	Dox_10µM	2	435	111	381	7.93								
30	E. coli	DL-R3	1/25/19	6	6	Dox_10µM	3	406	123	352	13.47								
31	E. coli	DM-R1	1/25/19	6	6	Dox_100µM	1	407	355	349	120.64	345.67	36.12	20.85	117.40	2.88	1.67	117.40	118.25
32	E. coli	DM-R2	1/25/19	6	6	Dox_100µM	2	438	346	380	116.48								
33	E. coli	DM-R3	1/25/19	6	6	Dox_100µM	3	366	343	308	115.09								
34	E. coli	DH-R1	1/25/19	6	6	Dox_250µM	1	439	488	373	182.07	386.67	15.18	8.76	188.69	16.94	9.78	188.69	189.54
35	E. coli	DH-R2	1/25/19	6	6	Dox_250µM	2	450	544	384	207.94								
36	E. coli	DH-R3	1/25/19	6	6	Dox_250µM	3	469	475	403	176.07								
37	E. coli	Ct-R1	1/25/19	12	12	Ctrl	1	438	88	385	-2.69	383.33	2.89	1.67	-2.39	0.27	0.15	-2.39	0.00
38	E. coli	Ct-R2	1/25/19	12	12	Ctrl	2	438	89	385	-2.23								
39	E. coli	Ct-R3	1/25/19	12	12	Ctrl	3	433	89	380	-2.23								
40	E. coli	DL-R1	1/25/19	12	12	Dox_10µM	1	416	109	362	7.01	370.00	6.93	4.00	9.01	3.87	2.24	9.01	11.39
41	E. coli	DL-R2	1/25/19	12	12	Dox_10µM	2	428	108	374	6.54								
42	E. coli	DL-R3	1/25/19	12	12	Dox_10µM	3	428	123	374	13.47								
43	E. coli	DM-R1	1/25/19	12	12	Dox_100µM	1	453	361	395	123.41	399.00	4.58	2.65	118.94	11.09	6.40	118.94	121.33
44	E. coli	DM-R2	1/25/19	12	12	Dox_100µM	2	462	369	404	127.10								
45	E. coli	DM-R3	1/25/19	12	12	Dox_100µM	3	456	324	398	106.32								
46	E. coli	DH-R1	1/25/19	12	12	Dox_250µM	1	487	299	421	94.77	431.67	25.72	14.85	66.44	30.17	17.42	66.44	68.83
47	E. coli	DH-R2	1/25/19	12	12	Dox_250µM	2	479	245	413	69.83								
48	E. coli	DH-R3	1/25/19	12	12	Dox_250µM	3	527	169	461	34.72								
49	E. coli	Ct-R1	1/25/19	24	25.16666667	Ctrl	1	431	89	378	-2.23	394.00	17.09	9.87	-2.08	0.27	0.15	-2.08	0.00
50	E. coli	Ct-R2	1/25/19	24	25.16666667	Ctrl	2	445	90	392	-1.77								
51	E. coli	Ct-R3	1/25/19	24	25.16666667	Ctrl	3	465	89	412	-2.23								
52	E. coli	DL-R1	1/25/19	24	25.16666667	Dox_10µM	1	448	106	394	5.62	399.33	11.02	6.36	7.47	4.45	2.57	7.47	9.55
53	E. coli	DL-R2	1/25/19	24	25.16666667	Dox_10µM	2	466	103	412	4.23								
54	E. coli	DL-R3	1/25/19	24	25.16666667	Dox_10µM	3	446	121	392	12.55								
55	E. coli	DM-R1	1/25/19	24	25.16666667	Dox_100µM	1	495	174	437	37.03	435.00	8.19	4.73	33.33	3.20	1.85	33.33	35.41
56	E. coli	DM-R2	1/25/19	24	25.16666667	Dox_100µM	2	484	162	426	31.49								
57	E. coli	DM-R3	1/25/19	24	25.16666667	Dox_100µM	3	500	162	442	31.49								
58	E. coli	DH-R1	1/25/19	24	25.16666667	Dox_250µM	1	500	124	434	13.93	440.00	14.93	8.62	7.01	6.21	3.59	7.01	9.08
59	E. coli	DH-R2	1/25/19	24	25.16666667	Dox_250µM	2	495	105	429	5.16								
60	E. coli	DH-R3	1/25/19	24	25.16666667	Dox_250µM	3	523	98	457	1.92								
61	E. faecium	Ct-R1	1/28/19	0	0	Ctrl	1			0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
62	E. faecium	Ct-R2	1/28/19	0	0	Ctrl	2			0	0.00								
63	E. faecium	Ct-R3	1/28/19	0	0	Ctrl	3			0	0.00								
64	E. faecium	DL-R1	1/28/19	0	0	Dox_10µM	1			0	10.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	10.00
65	E. faecium	DL-R2	1/28/19	0	0	Dox_10µM	2			0	10.00								
66	E. faecium	DL-R3	1/28/19	0	0	Dox_10µM	3			0	10.00								
67	E. faecium	DM-R1	1/28/19	0	0	Dox_100µM	1			0	100.00	0.00	0.00	0.00	100.00	0.00	0.00	100.00	100.00
68	E. faecium	DM-R2	1/28/19	0	0	Dox_100µM	2			0	100.00								
69	E. faecium	DM-R3	1/28/19	0	0	Dox_100µM	3			0	100.00								
70	E. faecium	DH-R1	1/28/19	0	0	Dox_250µM	1			0	250.00	0.00	0.00	0.00	250.00	0.00	0.00	250.00	250.00
71	E. faecium	DH-R2	1/28/19	0	0	Dox_250µM	2			0	250.00								
72	E. faecium	DH-R3	1/28/19	0	0	Dox_250µM	3			0	250.00								
73	E. faecium	Ct-R1	1/29/19	3	3.166666667	Ctrl	1	91	88	38	-2.69	38.00	1.00	0.58	-2.85	0.27	0.15	-2.85	0.00
74	E. faecium	Ct-R2	1/29/19	3	3.166666667	Ctrl	2	92	88	39	-2.69								
75	E. faecium	Ct-R3	1/29/19	3	3.166666667	Ctrl	3	90	87	37	-3.16								
76	E. faecium	DL-R1	1/29/19	3	3.166666667	Dox_10µM	1	96	90	42	-1.77	47.00	15.13	8.74	1.46	3.78	2.18	1.46	4.31
77	E. faecium	DL-R2	1/29/19	3	3.166666667	Dox_10µM	2	118	106	64	5.62								
78	E. faecium	DL-R3	1/29/19	3	3.166666667	Dox_10µM	3	89	95	35	0.54								
79	E. faecium	DM-R1	1/29/19	3	3.166666667	Dox_100µM	1	72	284.5	14	88.07	14.67	0.58	0.33	92.31	3.71	2.14	92.31	95.15
80	E. faecium	DM-R2	1/29/19	3	3.166666667	Dox_100µM	2	73	297	15	93.85								
81	E. faecium	DM-R3	1/29/19	3	3.166666667	Dox_100µM	3	73	299.5	15	95.00								
82	E. faecium	DH-R1	1/28/19	3	3.166666667	Dox_250µM	1			0	250.00								
83	E. faecium	DH-R2	1/28/19	3	3.166666667	Dox_250µM	2			0	250.00								
84	E. faecium	DH-R3	1/28/19	3	3.166666667	Dox_250µM	3			0	250.00								
85	E. faecium	Ct-R1	1/28/19	6	6.25	Ctrl	1	350	85	297	-4.08	211.67	93.98	38.37	1.93	6.76	2.76	1.93	0.00
86	E. faecium	Ct-R2	1/28/19	6	6.25	Ctrl	2	354	84	301	-4.54								
87	E. faecium	Ct-R3	1/28/19	6	6.25	Ctrl	3	347	85	294	-4.08								
88	E. faecium	Ct-R1	1/23/19	6	6.25	Ctrl	1	171	110	118	7.47								
89	E. faecium	Ct-R2	1/23/19	6	6.25	Ctrl	2	185	112	132	8.39								
90	E. faecium	Ct-R3	1/23/19	6	6.25	Ctrl	3	181	112	128	8.39								
91	E. faecium	DL-R1	1/28/19	6	6.25	Dox_10µM	1	349	114	295	9.31	245.20	73.78	32.99	9.68	4.80	2.15	9.68	7.76
92	E. faecium	DL-R2	1/28/19	6	6.25	Dox_10µM	2	347	105	293	5.16								
93	E. faecium	DL-R3	1/28/19	6	6.25	Dox_10µM	3	362	105	308	5.16								
94	E. faecium	Ct-R1	1/23/19	6	6.25	Dox_10µM	1	209	129	155	16.24								
95	E. faecium	Ct-R2	1/23/19	6	6.25	Dox_10µM	2												
96	E. faecium	Ct-R3	1/23/19	6	6.25	Dox_10µM	3	229	121	175	12.55								
97	E. faecium	DM-R1	1/28/19	6	6.25	Dox_100µM	1	144	294	86	92.46	146.86	76.37	28.86	89.89	10.39	3.93	89.89	87.96
98	E. faecium	DM-R2	1/28/19	6	6.25	Dox_100µM	2	149	271	91	81.84								
99	E. faecium	DM-R3	1/28/19	6	6.25	Dox_100µM	3	122	293	64	92								
100	E. faecium	Ct-R1	1/23/19	6	6.25	Dox_100µM	1	223	308	165	98.93								
101	E. faecium	Ct-R2	1/23/19	6	6.25	Dox_100µM	2	214	317	156	103.08								
102	E. faecium	Ct-R3	1/23/19	6	6.25	Dox_100µM	3	236	250	178	72.14								
103	E. faecium	Ct-R1	1/29/19	6	6.25	Dox_100µM	1	346	286	288	88.76								
104	E. faecium	DH-R1	1/26/19	6	6.25	Dox_250µM	1			0	250	37.33	52.93	23.67	240.29	12.20	5.46	240.29	238.36
105	E. faecium	DH-R2	1/26/19	6	6.25	Dox_250µM	2			0	250								
106	E. faecium	DH-R3	1/26/19	6	6.25	Dox_250µM	3			0	250								
107	E. faecium	Ct-R1	1/23/19	6	6.25	Dox_250µM	1	101	616	43	241.2								
108	E. faecium	Ct-R2	1/23/19	6	6.25	Dox_250µM	2	103	577	45	223.18								
109	E. faecium	Ct-R3	1/23/19	6	6.25	Dox_250µM	3	194	586	136	227.34								
110	E. faecium	Ct-R1	1/28/19	12	12	Ctrl	1	356	84	303	-4.54	284.67	17.04	6.96	1.54	6.77	2.76	1.54	0.00
111	E. faecium	Ct-R2	1/28/19	12	12	Ctrl	2	346	83	293	-5								
112	E. faecium	Ct-R3	1/28/19	12	12	Ctrl	3	356	85	303	-4.08								
113	E. faecium	Ct-R1	1/23/19	12	12	Ctrl	1	331	108	273	6.54								
114	E. faecium	Ct-R2	1/23/19	12	12	Ctrl	2	323	108	265	6.54								
115	E. faecium	Ct-R3	1/23/19	12	12	Ctrl	3	329	115	271	9.78								
116	E. faecium	DL-R1	1/28/19	12	12	Dox_10µM	1	355	98	301	1.92	281.33	24.94	10.18	9.85	6.87	2.80	9.85	8.31
117	E. faecium	DL-R2	1/28/19	12	12	Dox_10µM	2	352	100	298	2.85								
118	E. faecium	DL-R3	1/28/19	12	12	Dox_10µM	3	366	108	312	6.54								
119	E. faecium	DL-R1	1/23/19	12	12	Dox_10µM	1	315	126	261	14.86								
120	E. faecium	DL-R2	1/23/19	12	12	Dox_10µM	2	313	130	259	16.71								
121	E. faecium	DL-R3	1/23/19	12	12	Dox_10µM	3	311	129	257	16.24								
122	E. faecium	DM-R1	1/28/19	12	12	Dox_100µM	1	268	279	210	85.53	216.83	19.57	7.99	76.29	14.74	6.02	76.29	74.75
123	E. faecium	DM-R2	1/28/19	12	12	Dox_100µM	2	267	226	209	61.05								
124	E. faecium	DM-R3	1/28/19	12	12	Dox_100µM	3	243	211	185	54.12								
125	E. faecium	DM-R1	1/23/19	12	12	Dox_100µM	1	296	273	238	82.76								
126	E. faecium	DM-R2	1/23/19	12	12	Dox_100µM	2	284	282	226	86.92								
127	E. faecium	DM-R3	1/23/19	12	12	Dox_100µM	3	291	283	233	87.38								
128	E. faecium	DH-R1	1/26/19	12	12	Dox_250µM	1			0	250	103.67	113.73	46.43	214.11	43.27	17.66	214.11	212.57
129	E. faecium	DH-R2	1/26/19	12	12	Dox_250µM	2			0	250								
130	E. faecium	DH-R3	1/26/19	12	12	Dox_250µM	3			0	250								
131	E. faecium	DH-R1	1/23/19	12	12	Dox_250µM	1	279	551	213	211.17								
132	E. faecium	DH-R2	1/23/19	12	12	Dox_250µM	2	279	441	213	160.36								
133	E. faecium	DH-R3	1/23/19	12	12	Dox_250µM	3	262	447	196	163.13								
134	E. faecium	Ct-R1	1/28/19	24	24.16666667	Ctrl	1	252	90	199	-1.77	218.67	22.61	9.23	4.70	7.04	2.87	4.70	0.00
135	E. faecium	Ct-R2	1/28/19	24	24.16666667	Ctrl	2	256	91	203	-1.31								
136	E. faecium	Ct-R3	1/28/19	24	24.16666667	Ctrl	3	264	90	211	-1.77								
137	E. faecium	Ct-R1	1/23/19	24	24.16666667	Ctrl	1	306	118	253	11.16								
138	E. faecium	Ct-R2	1/23/19	24	24.16666667	Ctrl	2	258	122	205	13.01								
139	E. faecium	Ct-R3	1/23/19	24	24.16666667	Ctrl	3	294	113	241	8.85								
140	E. faecium	DL-R1	1/28/19	24	24.16666667	Dox_10µM	1	250	96	196	1	199.33	8.80	3.59	12.93	13.26	5.41	12.93	8.24
141	E. faecium	DL-R2	1/28/19	24	24.16666667	Dox_10µM	2	246	102	192	3.77								
142	E. faecium	DL-R3	1/28/19	24	24.16666667	Dox_10µM	3	266	105	212	5.16								
143	E. faecium	DL-R1	1/28/19	24	24.16666667	Dox_10µM	1	263	174	209	37.03								
144	E. faecium	DL-R2	1/28/19	24	24.16666667	Dox_10µM	2	248	128	194	15.78								
145	E. faecium	DL-R3	1/28/19	24	24.16666667	Dox_10µM	3	247	126	193	14.86								
146	E. faecium	DM-R1	1/28/19	24	24.16666667	Dox_100µM	1	179	215	121	55.97	137.67	23.33	9.52	61.22	18.81	6.65	61.22	56.53
147	E. faecium	DM-R2	1/28/19	24	24.16666667	Dox_100µM	2	172	191	114	44.88								
148	E. faecium	DM-R3	1/28/19	24	24.16666667	Dox_100µM	3	175	196	117	47.19								
149	E. faecium	DH-R2	1/29/19	24	49.5	Dox_100µM	2		287		89.23								
150	E. faecium	DH-R3	1/29/19	24	49.5	Dox_100µM	3		294		92.46								
151	E. faecium	DM-R1	1/28/19	24	24.16666667	Dox_100µM	1	228	219	170	57.82								
152	E. faecium	DM-R2	1/28/19	24	24.16666667	Dox_100µM	2	210	209	152	53.2								
153	E. faecium	DM-R3	1/28/19	24	24.16666667	Dox_100µM	3	210	200	152	49.04								
154	E. faecium	DH-R1	1/26/19	24	24.16666667	Dox_250µM	1	74	583	8	225.95	66.50	66.35	27.09	215.41	32.05	13.08	215.41	210.71
155	E. faecium	DH-R2	1/26/19	24	24.16666667	Dox_250µM	2	71	619	5	242.58								
156	E. faecium	DH-R3	1/26/19	24	24.16666667	Dox_250µM	3	72	623	6	244.43								
157	E. faecium	DH-R1	1/26/19	24	24.16666667	Dox_250µM	1	206	527	140	200.09								
158	E. faecium	DH-R2	1/26/19	24	24.16666667	Dox_250µM	2	189	571	123	220.41								
159	E. faecium	DH-R3	1/26/19	24	24.16666667	Dox_250µM	3	183	438	117	158.98								
160	K. pneumoniae	Ct-R1	1/13/19	0	0	Ctrl	1			0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
161	K. pneumoniae	Ct-R2	1/13/19	0	0	Ctrl	2			0	0.00								
162	K. pneumoniae	Ct-R3	1/13/19	0	0	Ctrl	3			0	0.00								
163	K. pneumoniae	DL-R1	1/13/19	0	0	Dox_10µM	1			0	10.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	10.00
164	K. pneumoniae	DL-R2	1/13/19	0	0	Dox_10µM	2			0	10.00								
165	K. pneumoniae	DL-R3	1/13/19	0	0	Dox_10µM	3			0	10.00								
166	K. pneumoniae	DM-R1	1/13/19	0	0	Dox_100µM	1			0	100.00	0.00	0.00	0.00	100.00	0.00	0.00	100.00	100.00
167	K. pneumoniae	DM-R2	1/13/19	0	0	Dox_100µM	2			0	100.00								
168	K. pneumoniae	DM-R3	1/13/19	0	0	Dox_100µM	3			0	100.00								
169	K. pneumoniae	DH-R1	1/13/19	0	0	Dox_250µM	1			0	250.00	0.00	0.00	0.00	250.00	0.00	0.00	250.00	250.00
170	K. pneumoniae	DH-R2	1/13/19	0	0	Dox_250µM	2			0	250.00								
171	K. pneumoniae	DH-R3	1/13/19	0	0	Dox_250µM	3			0	250.00								
172	K. pneumoniae	Ct-R1	1/29/19	3	3.166666667	Ctrl	1	348	85	295	-4.08	301.33	11.85	6.84	-4.08	0.00	0.00	-4.08	0.00
173	K. pneumoniae	Ct-R2	1/29/19	3	3.166666667	Ctrl	2	347	85	294	-4.08								
174	K. pneumoniae	Ct-R3	1/29/19	3	3.166666667	Ctrl	3	368	85	315	-4.08								
175	K. pneumoniae	DL-R1	1/29/19	3	3.166666667	Dox_10µM	1	342	111	288	7.93	286.67	15.04	8.69	7.16	1.33	0.77	7.16	11.24
176	K. pneumoniae	DL-R2	1/29/19	3	3.166666667	Dox_10µM	2	325	111	271	7.93								
177	K. pneumoniae	DL-R3	1/29/19	3	3.166666667	Dox_10µM	3	355	106	301	5.62								
178	K. pneumoniae	DM-R1	1/29/19	3	3.166666667	Dox_100µM	1	314	293	256	92.00	255.00	11.53	6.66	90.61	1.22	0.71	90.61	94.69
179	K. pneumoniae	DM-R2	1/29/19	3	3.166666667	Dox_100µM	2	324	289	266	90.15								
180	K. pneumoniae	DM-R3	1/29/19	3	3.166666667	Dox_100µM	3	301	288	243	89.69								
181	K. pneumoniae	DH-R1	1/29/19	3	3.166666667	Dox_250µM	1	425	321	359	104.93	339.00	32.92	19.01	106.32	5.45	3.14	106.32	110.40
182	K. pneumoniae	DH-R2	1/29/19	3	3.166666667	Dox_250µM	2	367	337	301	112.32								
183	K. pneumoniae	DH-R3	1/29/19	3	3.166666667	Dox_250µM	3	423	314	357	101.70								
184	K. pneumoniae	Ct-R1	1/13/19	6	6	Ctrl	1	445	113	392	8.85	379.00	11.36	6.56	8.70	0.71	0.41	8.70	0.00
185	K. pneumoniae	Ct-R2	1/13/19	6	6	Ctrl	2	427	111	374	7.93								
186	K. pneumoniae	Ct-R3	1/13/19	6	6	Ctrl	3	424	114	371	9.31								
187	K. pneumoniae	DL-R1	1/13/19	6	6	Dox_10µM	1	470	133	416	18.09	397.00	24.76	14.29	17.94	0.71	0.41	17.94	9.24
188	K. pneumoniae	DL-R2	1/13/19	6	6	Dox_10µM	2	460	134	406	18.55								
189	K. pneumoniae	DL-R3	1/13/19	6	6	Dox_10µM	3	423	131	369	17.17								
190	K. pneumoniae	DM-R1	1/13/19	6	6	Dox_100µM	1	462	195	404	46.73	408.33	13.05	7.54	52.27	13.80	7.96	52.27	43.57
191	K. pneumoniae	DM-R2	1/13/19	6	6	Dox_100µM	2	481	185	423	42.11								
192	K. pneumoniae	DM-R3	1/13/19	6	6	Dox_100µM	3	456	241	398	67.98								
193	K. pneumoniae	DH-R1	1/13/19	6	6	Dox_250µM	1	500	122	434	13.01	408.00	28.21	16.29	16.09	2.71	1.56	16.09	7.39
194	K. pneumoniae	DH-R2	1/13/19	6	6	Dox_250µM	2	444	133	378	18.09								
195	K. pneumoniae	DH-R3	1/13/19	6	6	Dox_250µM	3	478	131	412	17.17								
196	K. pneumoniae	Ct-R1	1/13/19	12	12	Ctrl	1	452	112	399	8.39	388.33	9.29	5.36	9.62	1.16	0.67	9.62	0.00
197	K. pneumoniae	Ct-R2	1/13/19	12	12	Ctrl	2	437	115	384	9.78								
198	K. pneumoniae	Ct-R3	1/13/19	12	12	Ctrl	3	435	117	382	10.70								
199	K. pneumoniae	DL-R1	1/13/19	12	12	Dox_10µM	1	461	130	407	16.71	387.33	17.21	9.94	17.32	0.71	0.41	17.32	7.70
200	K. pneumoniae	DL-R2	1/13/19	12	12	Dox_10µM	2	434	133	380	18.09								
201	K. pneumoniae	DL-R3	1/13/19	12	12	Dox_10µM	3	429	131	375	17.17								
202	K. pneumoniae	DM-R1	1/13/19	12	12	Dox_100µM	1	452	128	394	15.78	394.00	8.00	4.62	16.71	2.88	1.67	16.71	7.08
203	K. pneumoniae	DM-R2	1/13/19	12	12	Dox_100µM	2	460	125	402	14.40								
204	K. pneumoniae	DM-R3	1/13/19	12	12	Dox_100µM	3	444	137	386	19.94								
205	K. pneumoniae	DH-R1	1/13/19	12	12	Dox_250µM	1	452	117	386	10.70	379.33	5.77	3.33	13.47	3.33	1.92	13.47	3.85
206	K. pneumoniae	DH-R2	1/13/19	12	12	Dox_250µM	2	442	131	376	17.17								
207	K. pneumoniae	DH-R3	1/13/19	12	12	Dox_250µM	3	442	121	376	12.55								
208	K. pneumoniae	Ct-R1	1/13/19	24	24	Ctrl	1	467	107	414	6.08	419.00	4.58	2.65	8.70	2.37	1.37	8.70	0.00
209	K. pneumoniae	Ct-R2	1/13/19	24	24	Ctrl	2	473	114	420	9.31								
210	K. pneumoniae	Ct-R3	1/13/19	24	24	Ctrl	3	476	117	423	10.70								
211	K. pneumoniae	DL-R1	1/13/19	24	24	Dox_10µM	1	484	132	430	17.63	411.33	32.33	18.67	18.71	0.96	0.56	18.71	10.01
212	K. pneumoniae	DL-R2	1/13/19	24	24	Dox_10µM	2	484	136	430	19.48								
213	K. pneumoniae	DL-R3	1/13/19	24	24	Dox_10µM	3	428	135	374	19.02								
214	K. pneumoniae	DM-R1	1/13/19	24	24	Dox_100µM	1	471	130	413	16.71	409.00	11.53	6.66	15.47	2.54	1.47	15.47	6.77
215	K. pneumoniae	DM-R2	1/13/19	24	24	Dox_100µM	2	476	121	418	12.55								
216	K. pneumoniae	DM-R3	1/13/19	24	24	Dox_100µM	3	454	131	396	17.17								
217	K. pneumoniae	DH-R1	1/13/19	24	24	Dox_250µM	1	461	115	395	9.78	389.33	8.96	5.17	10.24	0.80	0.46	10.24	1.54
218	K. pneumoniae	DH-R2	1/13/19	24	24	Dox_250µM	2	460	118	394	11.16								
219	K. pneumoniae	DH-R3	1/13/19	24	24	Dox_250µM	3	445	115	379	9.78								
220	C. innocuum	Ct-R1	2/1/19	0	0	Ctrl	1			0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
221	C. innocuum	Ct-R2	2/1/19	0	0	Ctrl	2			0	0.00								
222	C. innocuum	Ct-R3	2/1/19	0	0	Ctrl	3			0	0.00								
223	C. innocuum	DL-R1	2/1/19	0	0	Dox_10µM	1			0	10.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	10.00
224	C. innocuum	DL-R2	2/1/19	0	0	Dox_10µM	2			0	10.00								
225	C. innocuum	DL-R3	2/1/19	0	0	Dox_10µM	3			0	10.00								
226	C. innocuum	DM-R1	2/1/19	0	0	Dox_100µM	1			0	100.00	0.00	0.00	0.00	100.00	0.00	0.00	100.00	100.00
227	C. innocuum	DM-R2	2/1/19	0	0	Dox_100µM	2			0	100.00								
228	C. innocuum	DM-R3	2/1/19	0	0	Dox_100µM	3			0	100.00								
229	C. innocuum	DH-R1	2/1/19	0	0	Dox_250µM	1			0	250.00	0.00	0.00	0.00	250.00	0.00	0.00	250.00	250.00
230	C. innocuum	DH-R2	2/1/19	0	0	Dox_250µM	2			0	250.00								
231	C. innocuum	DH-R3	2/1/19	0	0	Dox_250µM	3			0	250.00								
232	C. innocuum	Ct-R1	2/1/19	3	3	Ctrl	1			0	0.00	7.50	6.36	4.50	0.00	0.00	0.00	0.00	0.00
233	C. innocuum	Ct-R2	2/1/19	3	3	Ctrl	2			0	0.00								
234	C. innocuum	Ct-R3	2/1/19	3	3	Ctrl	3			0	0.00								
235	C. innocuum	Ct-R1	7/30/20	3	3	Ctrl	1	65		12									
236	C. innocuum	Ct-R2	7/30/20	3	3	Ctrl	2	56		3									
237	C. innocuum	DL-R1	2/1/19	3	3	Dox_10µM	1			0	10.00	-0.50	2.12	1.50					
238	C. innocuum	DL-R2	2/1/19	3	3	Dox_10µM	2			0	10.00								
239	C. innocuum	DL-R3	2/1/19	3	3	Dox_10µM	3			0	10.00								
240	C. innocuum	DL-R1	7/30/20	3	3	Dox_10µM	1	52		-2									
241	C. innocuum	DL-R2	7/30/20	3	3	Dox_10µM	2	55		1									
242	C. innocuum	DM-R1	2/1/19	3	3	Dox_100µM	1			0	100.00								
243	C. innocuum	DM-R2	2/1/19	3	3	Dox_100µM	2			0	100.00								
244	C. innocuum	DM-R3	2/1/19	3	3	Dox_100µM	3			0	100.00								
245	C. innocuum	DH-R1	2/1/19	3	3	Dox_250µM	1			0	250.00								
246	C. innocuum	DH-R2	2/1/19	3	3	Dox_250µM	2			0	250.00								
247	C. innocuum	DH-R3	2/1/19	3	3	Dox_250µM	3			0	250.00								
248	C. innocuum	Ct-R1	2/1/19	6	6	Ctrl	1			0	0.00	130.63	127.75	45.17	-2.69	6.83	3.05	-2.69	0.00
249	C. innocuum	Ct-R2	2/1/19	6	6	Ctrl	2			0	0.00								
250	C. innocuum	Ct-R3	2/1/19	6	6	Ctrl	3			0	0.00								
251	C. innocuum	Ct-R1	7/20/20	6	6	Ctrl	1	218		165									
252	C. innocuum	Ct-R2	7/20/20	6	6	Ctrl	2	165		112									
253	C. innocuum	Ct-R1	7/21/2020b	6	6	Ctrl	1	76	109	23	7.01								
254	C. innocuum	Ct-R2	7/21/2020b	6	6	Ctrl	2	68		15									
255	C. innocuum	Ct-R1	7/28/20	6	6	Ctrl	1	391	75	338	-8.70								
256	C. innocuum	Ct-R2	7/28/20	6	6	Ctrl	2	355	78	302	-7.31								
257	C. innocuum	Ct-R1	7/30/20	6	6	Ctrl	1	117	80	64	-6.39								
